Date,High,Low,Open,Close,Volume,Adj Close,Symbol,Industry
2021-06-16,608.5,593.5,597.5399780273438,604.8699951171875,22144100.0,604.8699951171875,TSLA,Auto Manufacturing
2021-06-16,184.8800048828125,183.10000610351562,183.92999267578125,183.83999633789062,326000.0,183.83999633789062,TM,Auto Manufacturing
2021-06-16,477.32000732421875,465.92999267578125,468.05999755859375,468.4200134277344,1691700.0,468.0137634277344,TMO,Biotechnology: Laboratory Analytical Instruments
2021-06-16,89.43000030517578,87.94999694824219,89.2300033569336,88.43000030517578,8033800.0,87.38976287841797,RTX,Military/Government/Technical
2021-06-16,246.05999755859375,241.5500030517578,245.25,242.27000427246094,10529200.0,242.27000427246094,BA,Aerospace
2021-06-16,140.2899932861328,136.0399932861328,139.50999450683594,136.97999572753906,8030400.0,136.97999572753906,AMAT,Industrial Machinery/Components
2021-06-16,340.0,335.1300048828125,338.1000061035156,336.55999755859375,2264600.0,333.6818542480469,DE,Industrial Machinery/Components
2021-06-16,391.0,383.20001220703125,390.80999755859375,383.6000061035156,1524200.0,377.7201843261719,LMT,Aerospace
2021-06-16,219.38999938964844,216.6999969482422,219.00999450683594,217.16000366210938,4156900.0,213.77743530273438,CAT,Construction/Ag Equipment/Trucks
2021-06-16,15.289999961853027,14.880000114440918,15.100000381469727,15.020000457763672,69112900.0,14.868306159973145,F,Auto Manufacturing
2021-06-16,63.09000015258789,61.20000076293945,62.459999084472656,61.7599983215332,31080000.0,61.7599983215332,GM,Auto Manufacturing
2021-06-16,232.72000122070312,227.8000030517578,232.7100067138672,227.89999389648438,1327700.0,224.33677673339844,ITW,Industrial Machinery/Components
2021-06-16,148.6699981689453,145.6999969482422,147.74000549316406,146.3699951171875,1590400.0,145.06951904296875,ETN,Industrial Machinery/Components
2021-06-16,192.4600067138672,190.0,192.30999755859375,190.0800018310547,750800.0,186.6968231201172,GD,Aerospace
2021-06-16,20.540000915527344,20.299999237060547,20.440000534057617,20.40999984741211,2184500.0,20.40999984741211,STLA,Auto Manufacturing
2021-06-16,98.97000122070312,97.58000183105469,98.5199966430664,98.23999786376953,3527700.0,96.73898315429688,EMR,Industrial Machinery/Components
2021-06-16,33.04999923706055,32.619998931884766,32.97999954223633,32.79999923706055,587900.0,32.79999923706055,HMC,Auto Manufacturing
2021-06-16,323.2900085449219,313.2300109863281,322.8699951171875,315.8999938964844,856300.0,315.8999938964844,KLAC,Electronic Components
2021-06-16,465.94000244140625,453.2300109863281,463.8699951171875,453.8399963378906,468000.0,452.1339111328125,ROP,Office Equipment/Supplies/Services
2021-06-16,67.47000122070312,66.5,67.12000274658203,67.26000213623047,4586700.0,66.45355224609375,JCI,Auto Parts:O.E.M.
2021-06-16,68.88999938964844,67.83999633789062,68.45999908447266,68.22000122070312,2690500.0,67.7756576538086,APH,Electrical Products
2021-06-16,24.100000381469727,22.049999237060547,22.190000534057617,24.040000915527344,9957100.0,24.040000915527344,LCID,Auto Manufacturing
2021-06-16,63.279998779296875,61.56999969482422,63.130001068115234,61.790000915527344,2550800.0,60.51511764526367,NTR,Aerospace
2021-06-16,224.39999389648438,221.3800048828125,224.39999389648438,221.97999572753906,1204500.0,219.98782348632812,LHX,Industrial Machinery/Components
2021-06-16,203.52000427246094,201.3300018310547,202.88999938964844,202.75,403200.0,202.75,RACE,Auto Manufacturing
2021-06-16,81.38999938964844,79.62999725341797,81.37000274658203,80.19000244140625,2139300.0,79.55467224121094,DD,Wholesale Distributors
2021-06-16,145.0800018310547,142.9199981689453,144.66000366210938,143.58999633789062,1680800.0,143.0347900390625,A,Electrical Products
2021-06-16,298.4800109863281,291.70001220703125,295.3399963378906,295.95001220703125,866400.0,293.0601806640625,PH,Office Equipment/Supplies/Services
2021-06-16,157.47000122070312,153.72000122070312,156.5,154.3699951171875,1839800.0,154.3699951171875,APTV,Auto Parts:O.E.M.
2021-06-16,51.689998626708984,51.04999923706055,51.5099983215332,51.20000076293945,307400.0,50.970985412597656,CRH,Building Materials
2021-06-16,47.132999420166016,46.474998474121094,46.72999954223633,46.90999984741211,6778600.0,46.547977447509766,CARR,Wholesale Distributors
2021-06-16,679.469970703125,665.0599975585938,675.5900268554688,665.219970703125,300600.0,665.219970703125,TDG,Military/Government/Technical
2021-06-16,183.92999267578125,181.1999969482422,183.47999572753906,182.35000610351562,958700.0,181.22787475585938,TT,Auto Parts:O.E.M.
2021-06-16,41.02000045776367,40.209999084472656,40.95000076293945,40.349998474121094,6114800.0,39.860469818115234,GLW,Industrial Machinery/Components
2021-06-16,164.0,157.1580047607422,158.0,161.4600067138672,4815800.0,161.4600067138672,DASH,Industrial Machinery/Components
2021-06-16,92.2300033569336,90.95999908447266,92.16000366210938,91.36000061035156,1371800.0,91.36000061035156,PCAR,Auto Manufacturing
2021-06-16,41.25699996948242,38.63999938964844,38.869998931884766,41.029998779296875,14648900.0,41.029998779296875,XPEV,Auto Manufacturing
2021-06-16,249.72000122070312,245.4600067138672,248.88999938964844,246.0,929100.0,241.3667449951172,CMI,Construction/Ag Equipment/Trucks
2021-06-16,285.92999267578125,281.2300109863281,284.0,283.1300048828125,1395200.0,280.0805358886719,ROK,Industrial Machinery/Components
2021-06-16,28.73699951171875,27.290000915527344,27.360000610351562,28.399999618530273,12185400.0,28.399999618530273,LI,Auto Manufacturing
2021-06-16,149.72900390625,147.4499969482422,148.5,148.89999389648438,788500.0,148.89999389648438,KEYS,Industrial Machinery/Components
2021-06-16,338.6600036621094,325.7900085449219,335.5,334.3999938964844,2022400.0,334.3999938964844,TWLO,Industrial Machinery/Components
